V0,VT,Phase,Frequency
0.689055383,0.0152,-1.5,99.5
0.689002871,0.0152,-1.5,114.4
0.688910722,0.01515,-1.7,132.4
0.688884139,0.01515,-1.9,152.4
0.688858568,0.01515,-2.05,175.1
0.688839137,0.01515,-2.3,201
0.688809931,0.01515,-2.65,232
0.688784658,0.01515,-3.05,267
0.688757836,0.0151,-3.6,307
0.688763201,0.0151,-4,355
0.688772201,0.01515,-4.55,408
0.688826918,0.0151,-5.15,471
0.688846647,0.01505,-5.75,543
0.688915789,0.0151,-6.5,623
0.68899101,0.015,-7.45,718
0.68909806,0.01495,-8.45,825
0.689217984,0.0149,-9.7,950
0.689380645,0.0148,-10.9,1099
0.689609885,0.01475,-12.6,1263
0.689892709,0.01455,-14.35,1454
0.690215229,0.01435,-16.4,1672
0.69065684,0.01415,-18.55,1916
0.691175878,0.0139,-21.05,2220
0.691805243,0.01355,-23.6,2550
0.692506372,0.0131,-26.45,2940
0.693354606,0.0126,-29.5,3370
0.694280266,0.01205,-32.65,3890
0.695248603,0.01135,-35.9,4510
0.696255147,0.0106,-39,5180
0.697280466,0.0099,-41.8,5970
0.698217451,0.00905,-44.55,6870
0.699171721,0.0083,-46.6,7920
0.700000643,0.0075,-48.2,9120
0.700722694,0.00675,-49.85,10500
0.701359093,0.006,-50.7,12100
0.701928257,0.0054,-50.95,13950
0.702440619,0.00485,-50.55,16050
0.702875494,0.0043,-50.25,18450
0.703313589,0.00385,-48.55,21200
0.703716397,0.0034,-46.25,24400
0.703978955,0.00305,-44.85,28200
0.704160451,0.00285,-40.05,32500
0.704373598,0.00255,-36.05,37400
0.704582512,0.00235,-32.15,43000
0.70472604,0.0022,-26.4,49500
0.704867601,0.00205,-21.45,57000
0.704946577,0.002,-17.05,65600
0.70505464,0.00195,-10.35,75600
0.705148935,0.0019,-4.55,87000
0.70520848,0.0019,0,100200
