V0,VT,Phase,Frequency
0.707369625,0.00015635,-1.4,100.1
0.707324445,0.00015595,-1.35,114.4
0.707240402,0.00015615,-1.7,132.4
0.707206368,0.00015615,-1.8,152.4
0.707179486,0.0001559,-2.1,175.6
0.707119941,0.000156,-2.4,201
0.707097291,0.00015605,-2.75,232
0.70708245,0.00015595,-3.1,268
0.707084298,0.0001558,-3.7,308
0.707087814,0.00015565,-4.15,355
0.707056283,0.00015555,-4.65,408
0.707062959,0.00015545,-5.35,471
0.707085311,0.00015515,-6.05,542
0.707088172,0.000155,-6.85,625
0.707113444,0.0001544,-7.85,718
0.707168459,0.0001541,-8.85,825
0.707183301,0.00015345,-10.15,950
0.707203805,0.0001525,-11.5,1096
0.707227349,0.0001512,-13,1263
0.707255005,0.0001498,-14.9,1458
0.707302272,0.00014795,-16.9,1672
0.707345128,0.0001456,-19.3,1923
0.707390189,0.0001426,-21.8,2220
0.707450211,0.0001389,-24.5,2550
0.707523465,0.0001345,-27.45,2940
0.707580924,0.0001292,-30.5,3370
0.707685768,0.000123,-33.7,3890
0.707755982,0.00011615,-36.9,4510
0.707837641,0.00010875,-40.05,5180
0.707935392,0.00010065,-43.15,5970
0.708063185,9.25E-05,-45.85,6870
0.708162546,8.42E-05,-48.3,7920
0.708274185,7.61E-05,-50.3,9120
0.708373486,6.85E-05,-52,10500
0.708498656,6.12E-05,-53.1,12100
0.70863682,5.46E-05,-53.65,13950
0.708813667,4.86E-05,-53.6,16050
0.70898354,4.33E-05,-53.15,18450
0.70919609,3.85E-05,-51.95,21200
0.709458172,3.44E-05,-50.1,24500
0.709574043,3.08E-05,-47.85,28200
0.709729254,2.78E-05,-44.7,32400
0.709870219,2.53E-05,-41.25,37300
0.710043668,2.30E-05,-37.25,43000
0.710176467,2.12E-05,-32.85,49500
0.710320174,1.98E-05,-27.85,57000
0.710435271,1.86E-05,-22.9,65600
0.710547626,1.79E-05,-16.6,75600
0.710665762,1.72E-05,-11.05,87000
0.710773885,1.69E-05,-4.95,100200
